Customer_ID   Employee_ID    Order_ID       Product_ID     Quantity  Total_Retail_Price  CostPrice_Per_Unit  Discount  Order_Type  Order_Date   Delivery_Date  Shipping  Profit
63            121039         1230058123     220131300017   1         16.5                7.45                0.1       1           11JAN2013    11JAN2013      6.95      9.05
5             99999999       1230080101     230100500026   1         247.5               109.55              .         2           15JAN2013    19JAN2013      24.75     137.95
45            99999999       1230106883     240600100080   1         28.3                8.55                .         2           20JAN2013    22JAN2013      6.95      19.75
41            120174         1230147441     240600100010   2         32                  6.5                 .         1           28JAN2013    28JAN2013      8.95      19
183           120134         1230315085     240200200039   3         63.6                8.8                 .         1           27FEB2013    27FEB2013      10.95     37.2
79            99999999       1230333319     240100400005   1         234.6               115.95              .         2           02MAR2013    03MAR2013      23.46     118.65
23            99999999       1230338566     240800200062   1         35.4                16.15               .         2           03MAR2013    08MAR2013      8.95      19.25
23            99999999       1230338566     240800200063   2         73.8                16.85               .         2           03MAR2013    08MAR2013      10.95     40.1
45            99999999       1230371142     240500100004   2         127                 28                  .         2           09MAR2013    11MAR2013      15.95     71
45            99999999       1230371142     240500200003   1         23.2                11.1                .         2           09MAR2013    11MAR2013      6.95      12.1
56            121059         1230404278     220200300002   2         75                  17.05               .         1           15MAR2013    15MAR2013      10.95     40.9
183           120149         1230440481     230100600005   1         129.8               63.2                .         1           22MAR2013    22MAR2013      15.95     66.6
16            99999999       1230450371     230100600018   2         128.4               32.2                .         2           24MAR2013    26MAR2013      15.95     64
79            99999999       1230453723     240500200056   1         24.1                11.55               .         2           24MAR2013    25MAR2013      6.95      12.55
183           120134         1230455630     240200100233   2         91.8                22.45               .         1           25MAR2013    25MAR2013      12.95     46.9
2788          99999999       1230478006     230100100025   2         60.6                13.15               .         2           28MAR2013    30MAR2013      10.95     34.3
20            121066         1230498538     230100300006   1         68.5                34.35               .         1           01APR2013    01APR2013      10.95     34.15
70046         99999999       1230500669     240200100131   2         148.6               41.35               .         3           02APR2013    03APR2013      15.95     65.9
12386         99999999       1230503155     220131400310   1         31.8                14.2                .         2           02APR2013    03APR2013      8.95      17.6
23            99999999       1230591673     220200200024   3         178.5               32.25               .         2           18APR2013    23APR2013      17.95     81.75
36            99999999       1230591675     240500100039   1         34.5                15.4                .         3           18APR2013    20APR2013      8.95      19.1
79            121045         1230591684     240200100076   4         1796                246.55              0.15      1           18APR2013    18APR2013      179.6     809.8
61            99999999       1230619748     220200100092   1         83                  41.6                .         2           24APR2013    29APR2013      10.95     41.4
61            99999999       1230619748     220200300005   3         345                 52.35               .         2           24APR2013    29APR2013      34.5      187.95
13            99999999       1230642273     230100500082   1         126.1               58.6                .         2           28APR2013    03MAY2013      15.95     67.5
171           99999999       1230657844     240100100646   1         109.9               46.8                .         3           01MAY2013    04MAY2013      12.95     63.1
11171         99999999       1230690733     240200100043   2         282.4               69.4                .         3           07MAY2013    09MAY2013      28.24     143.6
14703         99999999       1230699509     220130100044   1         102.1               48.65               .         2           08MAY2013    11MAY2013      12.95     53.45
14703         99999999       1230699509     220130400005   1         81.3                40.75               .         2           08MAY2013    11MAY2013      10.95     40.55
79            99999999       1230700421     230100100006   1         176                 74.55               .         2           08MAY2013    09MAY2013      17.95     101.45
79            99999999       1230700421     230100500045   2         2.6                 0.6                 .         2           08MAY2013    09MAY2013      6.95      1.4
79            99999999       1230700421     230100500068   2         3.4                 0.8                 .         2           08MAY2013    09MAY2013      6.95      1.8
928           99999999       1230738723     230100600026   2         237.2               59.4                .         2           15MAY2013    19MAY2013      23.72     118.4
19444         99999999       1230744524     220130700024   1         99.7                47.45               .         2           16MAY2013    21MAY2013      12.95     52.25
19444         99999999       1230744524     220131000002   1         17.7                8                   .         2           16MAY2013    21MAY2013      6.95      9.7
71            121060         1230745294     220200100179   1         134.5               67.35               0.2       1           16MAY2013    16MAY2013      15.95     67.15
12            121039         1230754828     220130100272   3         68.4                11.5                .         1           18MAY2013    18MAY2013      10.95     33.9
12            121039         1230754828     220131400269   4         268                 29.8                .         1           18MAY2013    18MAY2013      26.8      148.8
544           99999999       1230771337     230100500012   3         221.7               33.25               .         2           21MAY2013    22MAY2013      22.17     121.95
111           120148         1230778996     230100500096   1         35.5                17.25               .         1           23MAY2013    23MAY2013      8.95      18.25
88            99999999       1230793366     240400200097   3         1250.4              124.2               .         2           25MAY2013    28MAY2013      125.04    877.8
23            99999999       1230804171     240500200073   3         148.5               20.65               .         2           27MAY2013    01JUN2013      15.95     86.55
71            121064         1230825762     230100500093   2         265.6               55.85               .         1           31MAY2013    31MAY2013      26.56     153.9
23            99999999       1230841456     240700400024   2         127.2               33.15               .         2           03JUN2013    08JUN2013      15.95     60.9
75            121094         1230841466     240500100062   2         109.2               23.85               .         1           03JUN2013    03JUN2013      12.95     61.5
75            121094         1230841466     240500200130   2         56                  11.7                .         1           03JUN2013    03JUN2013      8.95      32.6
56            121043         1230885738     220131300017   2         33                  7.45                .         1           11JUN2013    11JUN2013      8.95      18.1
56            121043         1230885738     220131400098   3         97.2                14.85               .         1           11JUN2013    11JUN2013      12.95     52.65
18            121086         1230912536     240500200121   2         50.8                12.1                .         1           16JUN2013    16JUN2013      8.95      26.6
17023         99999999       1230931366     240200200007   2         166.8               8.35                .         3           20JUN2013    25JUN2013      17.95     150.1
17023         99999999       1230931366     240200200061   2         261.8               52.45               .         3           20JUN2013    25JUN2013      26.18     156.9
171           99999999       1231002241     220131200029   1         52.3                22.65               .         3           03JUL2013    06JUL2013      8.95      29.65
70108         99999999       1231008713     240200200039   2         42.4                8.8                 .         2           04JUL2013    05JUL2013      8.95      24.8
2806          99999999       1231014780     240100400043   4         1064                131.5               .         2           04JUL2013    08JUL2013      106.4     538
215           120145         1231023774     230100500024   1         22.9                10.85               .         1           07JUL2013    07JUL2013      6.95      12.05
215           120145         1231023774     230100600015   1         78.2                39.2                .         1           07JUL2013    07JUL2013      10.95     39
13            99999999       1231035308     230100600023   2         146.8               36.8                .         2           09JUL2013    14JUL2013      15.95     73.2
36            99999999       1231071449     240400200057   2         257                 58.05               .         3           15JUL2013    17JUL2013      25.7      140.9
36            99999999       1231071449     240400200066   2         27.6                6.3                 .         3           15JUL2013    17JUL2013      6.95      15
12            121064         1231077006     230100500095   2         193.8               40                  .         1           16JUL2013    16JUL2013      17.95     113.8
61            99999999       1231094514     230100500074   4         544                 51.3                .         2           20JUL2013    25JUL2013      54.4      338.8
61            99999999       1231094514     230100600005   2         259.6               63.2                .         2           20JUL2013    25JUL2013      25.96     133.2
